title,language,genre,males_allages_avg_vote
Peranbu,Tamil,Drama,9
Thevar Magan,Tamil,Drama,8.7
Anbe Sivam,Tamil,"Adventure, Comedy, Drama",8.7
Nayakan,Tamil,"Crime, Drama",8.7
96,Tamil,"Drama, Romance",8.6
Ratsasan,Tamil,"Action, Crime, Thriller",8.6
Moondram Pirai,Tamil,"Drama, Romance",8.6
Vikram Vedha,Tamil,"Action, Crime, Thriller",8.6
KD,Tamil,Drama,8.6
Thillu Mullu,Tamil,Comedy,8.5
Michael Madana Kama Rajan,Tamil,"Comedy, Musical",8.5
Aruvi,Tamil,Drama,8.5
Merku Thodarchi Malai,Tamil,Drama,8.5
Mahanadhi,Tamil,"Crime, Drama",8.5
Mouna Ragam,Tamil,"Drama, Romance",8.5
Aaranya Kaandam,Tamil,"Action, Crime, Thriller",8.5
Oththa Seruppu Size 7,Tamil,Drama,8.5
Thalapathi,Tamil,"Action, Crime, Drama",8.5
Visaaranai,Tamil,"Crime, Drama, Thriller",8.5
Iruvar,Tamil,"Biography, Drama",8.5
Kaithi,Tamil,"Action, Thriller",8.4
Papanasam,Tamil,"Drama, Thriller",8.4
Thani Oruvan,Tamil,"Action, Crime, Thriller",8.4
Kaakkaa Muttai,Tamil,"Comedy, Drama",8.4
Vada Chennai,Tamil,"Action, Crime",8.4
Pudhu Pettai,Tamil,"Action, Crime, Drama",8.4
Mudhalvan,Tamil,"Action, Drama, Thriller",8.4
Asuran,Tamil,"Action, Drama",8.4
Kattradhu Thamizh,Tamil,"Drama, Mystery",8.4
Varumayin Niram Sigappu,Tamil,Drama,8.3
Jigarthanda,Tamil,"Action, Crime, Drama",8.3
Virumandi,Tamil,"Action, Drama, Thriller",8.3
Joker,Tamil,"Comedy, Drama",8.3
Soodhu Kavvum,Tamil,"Comedy, Crime, Thriller",8.3
Pithamagan,Tamil,"Action, Drama",8.3
Super Deluxe,Tamil,"Action, Comedy, Crime",8.3
Alai Payuthey,Tamil,"Drama, Musical, Romance",8.3
Dhuruvangal Pathinaaru,Tamil,"Action, Crime, Mystery",8.3
Apoorva Sagodharargal,Tamil,"Action, Comedy, Drama",8.3
Ethir Neechal,Tamil,Comedy,8.2
Ramana,Tamil,"Action, Drama",8.2
Anniyan,Tamil,"Action, Drama, Thriller",8.2
Mullum Malarum,Tamil,Drama,8.2
Paruthiveeran,Tamil,"Action, Drama, Romance",8.2
Vazhakku Enn 18/9,Tamil,"Crime, Drama, Thriller",8.2
Naduvula Konjam Pakkatha Kaanom,Tamil,"Comedy, Drama",8.2
Onaayum Aattukkuttiyum,Tamil,"Action, Crime, Thriller",8.2
Guna,Tamil,"Drama, Romance",8.2
Sillu Karuppatti,Tamil,"Drama, Romance",8.2
Theeran Adhigaaram Ondru,Tamil,"Action, Crime, Thriller",8.2
Anjali,Tamil,"Family, Drama",8.2
Baasha,Tamil,"Action, Crime, Drama",8.2
Roja,Tamil,"Drama, Romance, Thriller",8.2
Aarilirindhu Aruvathu Varai,Tamil,"Biography, Drama",8.2
Padayappa,Tamil,"Action, Comedy, Drama",8.1
Kanchivaram,Tamil,Drama,8.1
Bombay,Tamil,"Drama, Musical, Romance",8.1
Indian,Tamil,"Action, Drama, Thriller",8.1
Deiva Thirumagal,Tamil,"Drama, Family, Musical",8.1
Pathinaru Vayathinile,Tamil,"Drama, Romance",8.1
Sathi Leelavathi,Tamil,"Comedy, Drama",8.1
Aandavan Kattalai,Tamil,Drama,8.1
Anjathe,Tamil,"Action, Drama, Thriller",8.1
Sethu,Tamil,"Action, Drama, Romance",8.1
Thadam,Tamil,"Action, Crime, Thriller",8.1
Aadukalam,Tamil,"Action, Drama, Sport",8.1
Panchatanthiram,Tamil,"Comedy, Drama",8
Uriyadi,Tamil,"Action, Thriller",8
Iraivi,Tamil,"Crime, Drama",8
Unnaipol Oruvan,Tamil,"Crime, Drama, Mystery",8
Venpa,Tamil,Romance,8
Kuttram Kadithal,Tamil,Drama,8
Indru Netru Naalai,Tamil,"Comedy, Sci-Fi, Thriller",8
Vinnaithaandi Varuvaayaa,Tamil,"Drama, Romance",8
Oh My Kadavule,Tamil,Comedy,8
Paradesi,Tamil,"Drama, History",8
Vaagai Sooda Vaa,Tamil,"Comedy, Drama, Romance",8
Nerkonda Paarvai,Tamil,"Action, Drama, Thriller",8
Kadalikka Neramillai,Tamil,"Comedy, Romance",8
Mozhi,Tamil,"Comedy, Musical, Romance",8
Pizza,Tamil,"Horror, Thriller",8
Sathuranga Vettai,Tamil,"Crime, Thriller",8
Kurangu Bommai,Tamil,"Drama, Thriller",8
Kaakha..Kaakha: The Police,Tamil,"Action, Crime, Drama",8
Baaram,Tamil,Drama,8
Yutham Sei,Tamil,"Crime, Drama, Mystery",8
Subramaniapuram,Tamil,"Action, Drama, Thriller",8
Vaaranam Aayiram,Tamil,"Drama, Musical, Romance",8
Eghantham,Tamil,Drama,8
Ratha Kanneer,Tamil,Drama,8
Vettaiyaadu Vilaiyaadu,Tamil,"Action, Crime, Thriller",7.9
Appa,Tamil,Drama,7.9
Madras,Tamil,"Action, Drama",7.9
Kaadhal Konden,Tamil,"Drama, Musical, Thriller",7.9
Unnal Mudiyum Thambi,Tamil,"Drama, Musical",7.9
To Let,Tamil,Family,7.9
Vaalee,Tamil,"Romance, Thriller",7.9
Chennai 600028,Tamil,"Comedy, Romance, Sport",7.9
Gentleman,Tamil,"Action, Drama, Thriller",7.9
Thavamai Thavamiruntu,Tamil,Drama,7.8
